headline,cleaned_headline,label,label_encoded
กษัตริย์ไทยสั่งยิงปราสาทพระวิหาร,กษัตริย์ไทยสั่งยิงปราสาทพระวิหาร,Fake,0
พบการยิงขีปนาวุธ จากประเทศกัมพูชาเข้าสู่ประเทศไทย,พบการยิงขีปนาวุธ จากประเทศกัมพูชาเข้าสู่ประเทศไทย,Fake,0
พบลูกกระสุนกองทัพไทยตกในเขต สปป.ลาว บริเวณสามเหลี่ยมมรกต,พบลูกกระสุนกองทัพไทยตกในเขต สปป.ลาว บริเวณสามเหลี่ยมมรกต,Fake,0
การรถไฟฯ ประกาศงดเดินขบวนรถไฟไปช่วงสถานีอรัญประเทศ – ด่านพรมแดนบ้านคลองลึก,การรถไฟฯ ประกาศงดเดินขบวนรถไฟไปช่วงสถานีอรัญประเทศ – ด่านพรมแดนบ้านคลองลึก,Real,1
กองทัพกัมพูชายิง F-16 ไทยตก 1 ลำ,กองทัพกัมพูชายิง F- ไทยตก ลำ,Fake,0
วันที่ 26 ก.ค. 68 มณฑลทหารบกที่ 22 อุบลราชธานีเรียกระดมกำลังพลสำรอง,วันที่ ก.ค. มณฑลทหารบกที่ อุบลราชธานีเรียกระดมกำลังพลสำรอง,Fake,0
กรมพัฒนาธุรกิจการค้า ออกหนังสือรับรองการจดทะเบียนนิติบุคคล บริษัท จัดหางาน NETSEA จำกัด,กรมพัฒนาธุรกิจการค้า ออกหนังสือรับรองการจดทะเบียนนิติบุคคล บริษัท จัดหางาน NETSEA จำกัด,Fake,0
บรอกโคลี ถั่ว และกะหล่ำปลีต้มแล้วมีพิษเทียบเท่าสารหนู,บรอกโคลี ถั่ว และกะหล่ำปลีต้มแล้วมีพิษเทียบเท่าสารหนู,Fake,0
พลเรือนไทยสามารถร่วมรับมือสงครามได้อย่างไร,พลเรือนไทยสามารถร่วมรับมือสงครามได้อย่างไร,Real,1
5 วิธีดูแลตัวเองจากพายุฝนฟ้าคะนอง,วิธีดูแลตัวเองจากพายุฝนฟ้าคะนอง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 27 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
ทหารนาวิกโยธินเหยียบกับระเบิด ได้รับบาดเจ็บ 4 นาย ในพื้นที่ จ.ตราด หนึ่งในนั้นบาดเจ็บสาหัส,ทหารนาวิกโยธินเหยียบกับระเบิด ได้รับบาดเจ็บ นาย ในพื้นที่ จ.ตราด หนึ่งในนั้นบาดเจ็บสาหัส,Fake,0
ยาหยอดหู สมุนไพรจีน แก้หูอักเสบ หูตึง ลมออกหู,ยาหยอดหู สมุนไพรจีน แก้หูอักเสบ หูตึง ลมออกหู,Fake,0
ไทยยิงขีปนาวุธ 10 ลูก ใส่ลาวในสามเหลี่ยมทองคำ,ไทยยิงขีปนาวุธ ลูก ใส่ลาวในสามเหลี่ยมทองคำ,Fake,0
ประเทศไทยใช้ F-16 โจมตีพลเรือนหลายรายในกัมพูชา,ประเทศไทยใช้ F- โจมตีพลเรือนหลายรายในกัมพูชา,Fake,0
บีบสิวที่จมูก อาจทำให้สมองติดเชื้อ เสี่ยงเสียชีวิตได้,บีบสิวที่จมูก อาจทำให้สมองติดเชื้อ เสี่ยงเสียชีวิตได้,Real,1
กระทรวงยุติธรรม เปิดเพจรับลงทะเบียนคุ้มครองสิทธิ รอรับค่าเสียหายภายใน 3 วัน,กระทรวงยุติธรรม เปิดเพจรับลงทะเบียนคุ้มครองสิทธิ รอรับค่าเสียหายภายใน วัน,Fake,0
รัฐบาลอนุมัติเงินเยียวยาผู้ได้รับผลกระทบชายแดน สูงสุด 1 ล้านบาท,รัฐบาลอนุมัติเงินเยียวยาผู้ได้รับผลกระทบชายแดน สูงสุด ล้านบาท,Real,1
กองบัญชาการชายแดน จชต. ประกาศกฎอัยการศึก ในบางพื้นที่ จ.จันทบุรี และ จ.ตราด,กองบัญชาการชายแดน จชต. ประกาศกฎอัยการศึก ในบางพื้นที่ จ.จันทบุรี และ จ.ตราด,Real,1
"OR เสนอขายหุ้น IPO เปิดพอร์ตเริ่มต้น 5,000 รับปันผลวันละ 1,480 บาท","OR เสนอขายหุ้น IPO เปิดพอร์ตเริ่มต้น , รับปันผลวันละ , บาท",Fake,0
ปลอดภัยในหน้าฝน วิธีปฐมพยาบาลเมื่อโดนพิษแมงกะพรุนกล่อง,ปลอดภัยในหน้าฝน วิธีปฐมพยาบาลเมื่อโดนพิษแมงกะพรุนกล่อง,Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 26 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
กองทัพภาคที่ 2 เปิดระดมทุนช่วยเหลือทหารไทยรบกัมพูชา,กองทัพภาคที่ เปิดระดมทุนช่วยเหลือทหารไทยรบกัมพูชา,Fake,0
ทหารไทย ไม่ได้โจมตีพื้นที่ปราสาทพระวิหาร,ทหารไทย ไม่ได้โจมตีพื้นที่ปราสาทพระวิหาร,Real,1
แม่ทัพอากาศประกาศกร้าว ถ้าเขมรไม่ถอย จะยึดทั้งประเทศ ขอเวลาเพียง 5 นาที,แม่ทัพอากาศประกาศกร้าว ถ้าเขมรไม่ถอย จะยึดทั้งประเทศ ขอเวลาเพียง นาที,Fake,0
ขอความร่วมมือไม่เชื่อ ไม่แชร์ภาพความรุนแรง หรือข่าวปลุกปั่น เชิญชวนใช้กำลังทำร้ายผู้บริสุทธิ์,ขอความร่วมมือไม่เชื่อ ไม่แชร์ภาพความรุนแรง หรือข่าวปลุกปั่น เชิญชวนใช้กำลังทำร้ายผู้บริสุทธิ์,Real,1
ทหารไทยยอมจํานนต่อรองกับกัมพูชา,ทหารไทยยอมจํานนต่อรองกับกัมพูชา,Fake,0
ทหารไทยเข้ายึดพื้นที่ปราสาทพระวิหารและวัดแก้วสิกขาคีรีสวาระ ที่เคยเป็นของไทยได้สำเร็จแล้ว,ทหารไทยเข้ายึดพื้นที่ปราสาทพระวิหารและวัดแก้วสิกขาคีรีสวาระ ที่เคยเป็นของไทยได้สำเร็จแล้ว,Fake,0
ทหารไทยเสียชีวิต 40 นาย ถูกจับกุม 30 นาย,ทหารไทยเสียชีวิต นาย ถูกจับกุม นาย,Fake,0
บริเวณภูเขาผี ทหารไทยยังคงยิงปะทะเข้ามาในพื้นที่กัมพูชาอย่างต่อเนื่อง ส่วนปราสาทตาเมือนธม ปราสาทตาควาย และบริเวณมุมเบย กัมพูชาควบคุมได้เต็ม 100% แล้ว,บริเวณภูเขาผี ทหารไทยยังคงยิงปะทะเข้ามาในพื้นที่กัมพูชาอย่างต่อเนื่อง ส่วนปราสาทตาเมือนธม ปราสาทตาควาย และบริเวณมุมเบย กัมพูชาควบคุมได้เต็ม % แล้ว,Fake,0
กองกำลังกัมพูชาควบคุมวัดท่ากระบี่ได้เต็มรูปแบบ ขับไล่ทหารไทยออก,กองกำลังกัมพูชาควบคุมวัดท่ากระบี่ได้เต็มรูปแบบ ขับไล่ทหารไทยออก,Fake,0
กองทัพกัมพูชา ยิงเครื่องบินรบไทยตกสําเร็จ,กองทัพกัมพูชา ยิงเครื่องบินรบไทยตกสําเร็จ,Fake,0
ระบบทะเบียนราษฎร ถูกล็อกและควบคุมโดยบริษัทเอกชน,ระบบทะเบียนราษฎร ถูกล็อกและควบคุมโดยบริษัทเอกชน,Fake,0
อุทยานแห่งชาติภูสอยดาว ประกาศปิดการท่องเที่ยวและพักแรมบริเวณลานสน,อุทยานแห่งชาติภูสอยดาว ประกาศปิดการท่องเที่ยวและพักแรมบริเวณลานสน,Real,1
วิธีรับมือน้ำท่วมอย่างมีสติ,วิธีรับมือน้ำท่วมอย่างมีสติ,Real,1
เพจเฟซบุ๊ก ชื่อ บริษัทจัดหางาน วี ดรากอน จำกัด รับรองโดยกรมแรงงาน เปิดรับสมัครงานฟาร์มออสเตรเลีย,เพจเฟซบุ๊ก ชื่อ บริษัทจัดหางาน วี ดรากอน จำกัด รับรองโดยกรมแรงงาน เปิดรับสมัครงานฟาร์มออสเตรเลีย,Fake,0
ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ 18 - 24 ก.ค. 68),ข่าวเด่นน่าสนใจประจำสัปดาห์ (วันที่ - ก.ค. ),Real,1
ตัดวงจร #อาชญากรรมออนไลน์ 25 กรกฎาคม 2568,ตัดวงจร #อาชญากรรมออนไลน์ กรกฎาคม,Real,1
"OKJ เปิดขายหุ้น IPO เริ่มลงทุนเพียง 1,300 บาท รับปันผล 520 บาท/วัน มี ก.ล.ต. รับรอง","OKJ เปิดขายหุ้น IPO เริ่มลงทุนเพียง , บาท รับปันผล บาท/วัน มี ก.ล.ต. รับรอง",Fake,0
24 ก.ค. 68 เวลา 12.00 น. หน้าสำนักงานป่าไม้ อ.เมือง จ.น่าน ระดับน้ำ 9.45 ม. สูงกว่าระดับตลิ่ง 2.45 ม.,ก.ค. เวลา . น. หน้าสำนักงานป่าไม้ อ.เมือง จ.น่าน ระดับน้ำ . ม. สูงกว่าระดับตลิ่ง . ม.,Real,1
สารไซคีเดลิก รักษาโรคซึมเศร้าให้หายขาดได้ในรอบเดียว,สารไซคีเดลิก รักษาโรคซึมเศร้าให้หายขาดได้ในรอบเดียว,Fake,0
โรคผื่นกุหลาบ เสี่ยงต่อการแท้งบุตร,โรคผื่นกุหลาบ เสี่ยงต่อการแท้งบุตร,Real,1
